date,total_mean
2025-01-01,8043.728617243867
2025-02-01,8427.614256439394
2025-03-01,8719.298487487657
2025-04-01,8826.326962301588
2025-05-01,8719.298487487657
2025-06-01,8426.891256439394
2025-07-01,8027.4555505772005
2025-08-01,7628.019844715008
2025-09-01,7335.612613666744
2025-10-01,7229.181506132234
2025-11-01,7335.612613666744
2025-12-01,7628.019844715007
2026-01-01,8027.4555505772005
2026-02-01,8427.30135718676
2026-03-01,8719.298487487657
2026-04-01,8826.326962301588
2026-05-01,8719.298487487657
2026-06-01,8426.891256439394
2026-07-01,8027.4555505772005
2026-08-01,7628.019844715008
2026-09-01,7335.612613666744
2026-10-01,7229.181506132234
2026-11-01,7335.612613666744
2026-12-01,7628.019844715007
